,NOMBRE MUNICIPIO,SECCION,LISTA NOMINAL
0,PUEBLA,1405,9827.0
1,PUEBLA,1252,9368.0
2,PUEBLA,1214,9363.0
3,PUEBLA,1562,9338.0
4,PUEBLA,1417,8728.0
5,PUEBLA,1595,8142.0
6,PUEBLA,1605,7844.0
7,PUEBLA,1259,7674.0
8,PUEBLA,1397,6752.0
9,PUEBLA,1416,6734.0
10,PUEBLA,1072,6704.0
11,PUEBLA,1410,6192.0
12,PUEBLA,1248,6133.0
13,PUEBLA,1242,6041.0
14,PUEBLA,1060,5701.0
15,PUEBLA,1398,5665.0
16,PUEBLA,1070,5180.0
17,PUEBLA,1078,5179.0
18,PUEBLA,1206,5097.0
19,PUEBLA,1591,5079.0
20,PUEBLA,1604,4717.0
21,PUEBLA,1128,4707.0
22,PUEBLA,1408,4641.0
23,PUEBLA,1213,4355.0
24,PUEBLA,1603,4303.0
25,PUEBLA,1055,4300.0
26,PUEBLA,1390,4291.0
27,PUEBLA,1588,4245.0
28,PUEBLA,1534,4185.0
29,PUEBLA,1077,4178.0
30,PUEBLA,1561,4138.0
31,PUEBLA,950,4135.0
32,PUEBLA,1396,4128.0
33,PUEBLA,1008,4104.0
34,PUEBLA,1221,4080.0
35,PUEBLA,1251,4048.0
36,PUEBLA,1375,4044.0
37,PUEBLA,1565,4031.0
38,PUEBLA,1254,3908.0
39,PUEBLA,1537,3908.0
40,PUEBLA,1033,3731.0
41,PUEBLA,1244,3718.0
42,PUEBLA,1555,3709.0
43,PUEBLA,1420,3691.0
44,PUEBLA,1061,3687.0
45,PUEBLA,1062,3683.0
46,PUEBLA,1418,3667.0
47,PUEBLA,951,3640.0
48,PUEBLA,1374,3624.0
49,PUEBLA,1058,3600.0
50,PUEBLA,1245,3553.0
51,PUEBLA,1212,3549.0
52,PUEBLA,2795,3436.0
53,PUEBLA,1238,3432.0
54,PUEBLA,2666,3425.0
55,PUEBLA,2668,3424.0
56,PUEBLA,1193,3358.0
57,PUEBLA,1201,3357.0
58,PUEBLA,1050,3332.0
59,PUEBLA,1243,3314.0
60,PUEBLA,1409,3295.0
61,PUEBLA,1594,3292.0
62,PUEBLA,1599,3243.0
63,PUEBLA,1419,3225.0
64,PUEBLA,1204,3205.0
65,PUEBLA,1188,3165.0
66,PUEBLA,1592,3128.0
67,PUEBLA,1400,3119.0
68,PUEBLA,2797,3083.0
69,PUEBLA,1359,3082.0
70,PUEBLA,1073,3066.0
71,PUEBLA,1414,3060.0
72,PUEBLA,1035,3012.0
73,PUEBLA,2781,3012.0
74,PUEBLA,1199,2999.0
75,PUEBLA,1200,2993.0
76,PUEBLA,1590,2985.0
77,PUEBLA,2778,2936.0
78,PUEBLA,2863,2906.0
79,PUEBLA,2845,2893.0
80,PUEBLA,1583,2877.0
81,PUEBLA,2664,2875.0
82,PUEBLA,2869,2872.0
83,PUEBLA,1059,2863.0
84,PUEBLA,1197,2861.0
85,PUEBLA,1386,2859.0
86,PUEBLA,2653,2853.0
87,PUEBLA,1584,2845.0
88,PUEBLA,2829,2838.0
89,PUEBLA,2792,2834.0
90,PUEBLA,2832,2827.0
91,PUEBLA,2782,2823.0
92,PUEBLA,2872,2815.0
93,PUEBLA,2860,2813.0
94,PUEBLA,2780,2797.0
95,PUEBLA,1129,2796.0
96,PUEBLA,1412,2778.0
97,PUEBLA,1422,2774.0
98,PUEBLA,2931,2767.0
99,PUEBLA,1391,2759.0
100,PUEBLA,2870,2748.0
101,PUEBLA,2847,2746.0
102,PUEBLA,2866,2745.0
103,PUEBLA,2966,2740.0
104,PUEBLA,1320,2729.0
105,PUEBLA,1582,2729.0
106,PUEBLA,2962,2715.0
107,PUEBLA,1607,2692.0
108,PUEBLA,2794,2692.0
109,PUEBLA,2964,2682.0
110,PUEBLA,2971,2682.0
