index,SECCION,MUNICIPIO,DISTRITO_F,DISTRITO_L,TIPO
0,,1,,,
1,,2,,,
2,,3,,,
3,,4,,,
4,,5,,,
5,,6,,,
6,,7,,,
7,,8,,,
8,,9,,,
9,,10,,,
10,,11,,,
11,,12,,,
12,,13,,,
13,,14,,,
14,,15,,,
15,,16,,,
16,,17,,,
17,,18,,,
18,,82,,,
19,,19,,,
20,,39,,,
21,,20,,,
22,,40,,,
23,,41,,,
24,,42,,,
25,,43,,,
26,,44,,,
27,,45,,,
28,,46,,,
29,,47,,,
30,,21,,,
31,,22,,,
32,,23,,,
33,,24,,,
34,,25,,,
35,,26,,,
36,,27,,,
37,,48,,,
38,,49,,,
39,,50,,,
40,,51,,,
41,,52,,,
42,,170,,,
43,,28,,,
44,,29,,,
45,,75,,,
46,,76,,,
47,,77,,,
48,,78,,,
49,,79,,,
50,,80,,,
51,,171,,,
52,,30,,,
53,,31,,,
54,,32,,,
55,,33,,,
56,,34,,,
57,,35,,,
58,,36,,,
59,,37,,,
60,,38,,,
61,,53,,,
62,,54,,,
63,,55,,,
64,,56,,,
65,,57,,,
66,,59,,,
67,,60,,,
68,,61,,,
69,,62,,,
70,,63,,,
71,,64,,,
72,,65,,,
73,,66,,,
74,,67,,,
75,,68,,,
76,,69,,,
77,,58,,,
78,,70,,,
79,,71,,,
80,,72,,,
81,,73,,,
82,,74,,,
83,,81,,,
84,,83,,,
85,,84,,,
86,,85,,,
87,,86,,,
88,,87,,,
89,,88,,,
90,,89,,,
91,,90,,,
92,,91,,,
93,,92,,,
94,,97,,,
95,,95,,,
96,,96,,,
97,,93,,,
98,,94,,,
99,,119,,,
100,,134,,,
101,,135,,,
102,,136,,,
103,,98,,,
104,,99,,,
105,,100,,,
106,,101,,,
107,,102,,,
108,,103,,,
109,,104,,,
110,,105,,,
111,,106,,,
112,,107,,,
113,,108,,,
114,,109,,,
115,,110,,,
116,,111,,,
117,,112,,,
118,,113,,,
119,,114,,,
120,,115,,,
121,,116,,,
122,,117,,,
123,,137,,,
124,,138,,,
125,,139,,,
126,,118,,,
127,,120,,,
128,,121,,,
129,,122,,,
130,,123,,,
131,,124,,,
132,,125,,,
133,,126,,,
134,,140,,,
135,,141,,,
136,,142,,,
137,,127,,,
138,,128,,,
139,,129,,,
140,,130,,,
141,,131,,,
142,,145,,,
143,,177,,,
144,,132,,,
145,,133,,,
146,,159,,,
147,,160,,,
148,,161,,,
149,,162,,,
150,,163,,,
151,,164,,,
152,,165,,,
153,,166,,,
154,,167,,,
155,,168,,,
156,,169,,,
157,,143,,,
158,,144,,,
159,,146,,,
160,,147,,,
161,,148,,,
162,,149,,,
163,,150,,,
164,,151,,,
165,,152,,,
166,,153,,,
167,,154,,,
168,,155,,,
169,,156,,,
170,,157,,,
171,,158,,,
172,,172,,,
173,,173,,,
174,,174,,,
175,,175,,,
176,,176,,,
177,,178,,,
178,,179,,,
179,,180,,,
180,,181,,,
181,,182,,,
182,,183,,,
183,,184,,,
184,,185,,,
185,,186,,,
186,,189,,,
187,,190,,,
188,,191,,,
189,,192,,,
190,,193,,,
191,,194,,,
192,,195,,,
193,,196,,,
194,,197,,,
195,,198,,,
196,,199,,,
197,,200,,,
198,,187,,,
199,,188,,,
200,,201,,,
201,,202,,,
202,,203,,,
203,,204,,,
204,,205,,,
205,,206,,,
206,,207,,,
207,,208,,,
208,,209,,,
209,,210,,,
210,,211,,,
211,,212,,,
212,,213,,,
213,,214,,,
214,,215,,,
215,,216,,,
216,,217,,,
